Disease,Description,Symptoms ,Precautions,Medications,Diets
Fibromyalgia,Chronic condition characterized by widespread musculoskeletal pain and fatigue.,"Widespread pain, fatigue, sleep disturbances, memory issues (“fibro fog”).",Stress management techniques; regular exercise; proper sleep hygiene.,"Pain relievers, antidepressants, anti-seizure drugs.","Anti-inflammatory foods like fruits, vegetables, whole grains, lean proteins, avoid processed foods, sugar, caffeine, and alcohol, include omega-3s."
Gallbladder cancer,Rare cancer that begins in the gallbladder.,"Abdominal pain (especially in the upper right abdomen), nausea, jaundice, weight loss.","Avoid smoking, healthy weight management, regular medical check-ups if at risk.","Surgery, chemotherapy, radiation therapy.","Low-fat diet, avoid fried foods, processed meats, and dairy, focus on fiber-rich foods, whole grains, and lean proteins."
Gastric cancer,Cancer that occurs in the stomach lining.,"Abdominal pain, nausea, vomiting, weight loss, difficulty swallowing.","Healthy diet, avoid smoking, limit alcohol, treat Helicobacter pylori infections.","Surgery, chemotherapy, radiation therapy, targeted therapy.","Soft, nutrient-dense foods, avoid spicy, fried, or acidic foods, include protein-rich foods, small frequent meals, and hydration."
Glioblastoma multiforme,An aggressive form of brain cancer.,"Headaches, nausea, vomiting, cognitive impairment, seizures.","Regular MRI scans for at-risk individuals, avoid exposure to ionizing radiation.","Surgery, radiation therapy, chemotherapy, targeted therapy.","Ketogenic diet (high fat, low carbs), focus on nutrient-dense, antioxidant-rich foods like berries, leafy greens, and lean proteins, avoid processed foods."
Glomerulonephritis,Inflammation of the tiny filters in the kidneys (glomeruli).,"Blood in urine, foamy urine, high blood pressure, swelling (edema).","Control high blood pressure, manage diabetes, avoid infections.","Steroids, immunosuppressive drugs, blood pressure medications, dialysis in severe cases.","Low-protein diet to reduce kidney strain, limit salt and potassium, avoid processed and high-fat foods, include fresh fruits and vegetables (low in potassium)."
Gout,"A form of arthritis characterized by sudden, severe attacks of pain, redness, and tenderness in joints.","Intense joint pain (often in the big toe), redness, swelling, heat in the affected joint.","Limit alcohol, avoid foods high in purines (e.g., red meat, seafood), maintain healthy body weight","Nonsteroidal anti-inflammatory drugs (NSAIDs), colchicine, corticosteroids, medications to lower uric acid levels (e.g., allopurinol).","Avoid purine-rich foods (e.g., red meat, organ meats, shellfish), limit alcohol, sugary drinks, include cherries, low-fat dairy, and whole grains."
Guillain-Barré syndrome,A rare neurological disorder where the body’s immune system attacks nerves.,"Weakness or tingling in legs, rapid progression to paralysis, difficulty breathing.","Early medical attention, avoid infections, proper vaccination.","Immunoglobulin therapy (IVIG), plasma exchange, supportive care (e.g., ventilation).","High-calorie, high-protein diet to support recovery, include soft foods if swallowing is difficult, omega-3-rich foods for inflammation, avoid alcohol."
Hemophilia,A genetic disorder that impairs the blood’s ability to clot properly.,"Prolonged bleeding, easy bruising, spontaneous bleeding into joints or muscles.","Avoid injuries, practice good dental care, regular clotting factor infusions.","Replacement therapy (clotting factor concentrates), desmopressin (for mild hemophilia), antifibrinolytic therapy.","Balanced diet with adequate vitamin K, focus on lean proteins, fruits, vegetables, and whole grains, avoid excessive alcohol and caffeine, stay hydrated."
Hepatocellular carcinoma,The most common type of primary liver cancer.,"Jaundice, abdominal pain, weight loss, fatigue, liver enlargement.","Regular screening for those at risk (e.g., hepatitis B/C, cirrhosis), vaccination against hepatitis B, limit alcohol.","Surgery, liver transplant, chemotherapy, targeted therapy, immunotherapy.","Low-fat, high-protein diet, avoid alcohol, processed foods, and high-sodium foods, include antioxidant-rich fruits and vegetables, and stay hydrated."
Herpes simplex virus (HSV) infection,"A viral infection that causes herpes, including cold sores and genital herpes.","Painful blisters or sores, itching, flu-like symptoms (in primary infection).","Avoid direct contact with sores, safe sex practices, good hygiene.","Antiviral medications (e.g., acyclovir, valacyclovir) to reduce symptoms and outbreak frequency.","Lysine-rich foods (e.g., dairy, fish), avoid arginine-rich foods (e.g., chocolate, nuts), include immune-boosting foods like fruits, vegetables, and lean proteins."
Hodgkin's lymphoma,A type of cancer that starts in white blood cells called lymphocytes.,"Swollen lymph nodes, fatigue, fever, night sweats, weight loss.","Avoid exposure to viruses (e.g., Epstein-Barr), maintain a healthy lifestyle.","Chemotherapy, radiation therapy, stem cell transplant in some cases.","High-calorie, high-protein diet to maintain weight during treatment, avoid raw or undercooked foods, include soft, easy-to-eat foods, stay hydrated."
Huntington's disease,	A genetic disorder that causes the progressive breakdown of nerve cells in the brain.,"Involuntary movements (chorea), cognitive decline, mood changes (depression, irritability).","Genetic counseling, regular medical monitoring, physical therapy.","No cure, medications for symptom management (e.g., antipsychotics, antidepressants), supportive care.","Nutrient-dense foods to maintain weight, high-calorie diet, avoid processed foods, focus on healthy fats, lean proteins, and whole grains, stay hydrated."
Hydrocephalus,A condition where excess cerebrospinal fluid accumulates in the brain.,"Headaches, nausea, vomiting, cognitive decline, walking difficulties, vision problems.","Regular prenatal care, early diagnosis, avoid head injuries.","Surgical shunt placement, ventriculostomy (to drain fluid).","Balanced diet, include nutrient-rich foods to support brain health (e.g., omega-3 fatty acids, leafy greens), avoid high-sugar and processed foods."
Hypertrophic cardiomyopathy,"A condition where the heart muscle becomes abnormally thick, making it harder to pump blood.","Shortness of breath, chest pain, fainting, palpitations, sudden cardiac arrest.","Regular check-ups, avoid high-intensity exercise, monitor family history.","Beta-blockers, calcium channel blockers, surgery (myectomy), implantable cardioverter-defibrillators (ICDs).","Heart-healthy diet, include omega-3-rich foods (e.g., fish, flaxseeds), fiber-rich foods, avoid high-sodium, high-fat, and processed foods."
Hyperparathyroidism,Overactivity of the parathyroid glands resulting in excess production of parathyroid hormone (PTH).,"Fatigue, muscle weakness, bone pain, kidney stones, frequent urination.","Regular calcium level monitoring, stay hydrated, avoid smoking.","Surgery to remove overactive glands, medications to manage calcium levels (e.g., bisphosphonates, calcimimetics).","High-calcium diet, avoid excessive phosphorus (e.g., red meat, sodas), include leafy greens, nuts, seeds, and low-fat dairy, stay hydrated."
Hypoparathyroidism,Underactivity of the parathyroid glands resulting in insufficient PTH.,"Tingling in the fingers, muscle cramps, fatigue, dry skin, hair loss.","Adequate calcium and vitamin D intake, regular medical monitoring.","Calcium supplements, vitamin D, synthetic PTH.","High-calcium, low-phosphorus diet, include leafy greens, almonds, and calcium-fortified foods, avoid sodas and red meat, include vitamin D-rich foods."
Inflammatory bowel disease (IBD),Chronic inflammation of the digestive tract (includes Crohn’s disease and ulcerative colitis).,"Abdominal pain, diarrhea, weight loss, fatigue, blood in stool.","Avoid smoking, maintain a balanced diet, stress management.","Anti-inflammatory drugs (e.g., corticosteroids),","Low-residue diet during flare-ups (avoid high-fiber foods), include easily digestible foods, avoid spicy, fatty, and processed foods, stay hydrated."
Interstitial cystitis,Chronic bladder condition causing bladder pressure and pelvic pain.,"Pelvic pain, frequent urination, pain during intercourse, urgency to urinate.","Avoid bladder irritants (e.g., caffeine, alcohol), bladder training, stress management.","Pain relievers, antidepressants, bladder instillations, physical therapy.","Avoid acidic foods (e.g., tomatoes, citrus), spicy foods, caffeine, alcohol, and artificial sweeteners, include high-alkaline foods like bananas and lean proteins."
Irritable bowel syndrome (IBS),A functional gastrointestinal disorder characterized by abdominal pain and changes in bowel habits.,"Abdominal pain, bloating, diarrhea or constipation, mucus in stool.","Stress management, regular meals, avoid trigger foods (e.g., fatty foods, caffeine).","Fiber supplements, antispasmodics, laxatives or anti-diarrheal medications, antidepressants.","Low FODMAP diet (avoid fermentable carbohydrates), include lean proteins, easy-to-digest fruits and vegetables, avoid caffeine, alcohol, and fatty foods."
Kaposi's sarcoma,"A type of cancer that forms in the lining of blood and lymph vessels, often associated with HIV/AIDS.","Red or purple skin lesions, swelling, shortness of breath (if it affects the lungs).","HIV/AIDS treatment, avoid immunosuppression.","Antiretroviral therapy (ART), chemotherapy, radiation therapy.","Nutrient-dense, high-protein diet, avoid processed foods, include antioxidant-rich fruits and vegetables, and stay hydrated."
